id,nombre,metodos,datos_sensibles,cifrado_transporte,cifrado_payload,autenticacion,autorizacion,politicas_recomendadas,errores_comunes
ESC-001,Public GET con cache,GET,false,TLS1.2+,No,SubscriptionKey,Producto+Cuota,"PACK-BASE|PACK-THROTTLING|PACK-CACHE-GET","Cachear datos personalizados por usuario"
ESC-002,Public POST de escritura simple,POST,true,TLS1.2+,No,OAuth2+JWT,Scopes,"PACK-BASE|PACK-AUTH-JWT|PACK-THROTTLING","Aceptar POST sin throttling ni validacion de contenido"
ESC-003,APIs internas microservicios,GET|POST|PUT|DELETE,true,TLS1.2+,No,JWT (Entra ID),Claims/Scopes,"PACK-BASE|PACK-AUTH-JWT|PACK-THROTTLING|PACK-OBSERVABILITY","Validar token sin aud/iss/scp"
ESC-004,Partner B2B estandar,GET|POST,true,TLS1.2+,Opcional,JWT+SubscriptionKey,Producto+Claims,"PACK-BASE|PACK-AUTH-JWT|PACK-THROTTLING","Compartir suscripcion entre partners"
ESC-005,Partner B2B estricto regulado,GET|POST|PUT,true,TLS1.2++mTLS,Opcional,mTLS+JWT,Producto+Claims+IP,"PACK-BASE|PACK-AUTH-JWT|PACK-B2B-STRICT|PACK-THROTTLING","Habilitar mTLS solo en ambientes parciales"
ESC-006,Payload cifrado extremo a extremo,POST|PUT|PATCH,true,TLS1.2+,Si (JWE/PGP),JWT/OAuth2,Claims+Headers cifrado,"PACK-BASE|PACK-AUTH-JWT|PACK-ENCRYPTION-PAYLOAD|PACK-THROTTLING","Intentar descifrar en APIM con llaves embebidas"
ESC-007,OAuth2 con token opaco,GET|POST,true,TLS1.2+,No,OAuth2 token opaco,Introspeccion,"PACK-BASE|PACK-AUTH-OAUTH-OPAQUE|PACK-THROTTLING","Usar validate-jwt para token opaco"
ESC-008,Mobile/Web usuario final,GET|POST,true,TLS1.2+,No,OAuth2 AuthorizationCode+PKCE,Scopes/Roles,"PACK-BASE|PACK-AUTH-JWT|PACK-THROTTLING|PACK-OBSERVABILITY","No separar scopes de lectura/escritura"
ESC-009,Webhook entrante de tercero,POST,true,TLS1.2+,No,HMAC/JWT proveedor,Firma+timestamp+nonce,"PACK-BASE|PACK-THROTTLING|PACK-OBSERVABILITY","No prevenir replay attacks"
ESC-010,Backend legacy con Basic Auth,GET|POST|PUT|DELETE,true,TLS1.2+,No,JWT/OAuth2 (cliente) + Basic (backend),Claims+backend credentials,"PACK-BASE|PACK-AUTH-JWT|PACK-THROTTLING","Hardcodear credenciales en policy"
ESC-011,Lectura intensiva cache agresivo,GET,depende,TLS1.2+,No,JWT/APIKey,Producto+claims opcional,"PACK-BASE|PACK-CACHE-GET|PACK-THROTTLING","Cachear respuestas con PII/PAN"
ESC-012,Escritura critica idempotente,POST,true,TLS1.2+,Opcional,JWT/OAuth2,Scopes+Idempotency-Key,"PACK-BASE|PACK-AUTH-JWT|PACK-THROTTLING|PACK-OBSERVABILITY","Duplicar transacciones por reintentos"
ESC-013,Carga de archivos,POST|PUT,true,TLS1.2+,Opcional,JWT+SubscriptionKey,Claims+cuotas,"PACK-BASE|PACK-AUTH-JWT|PACK-THROTTLING","No limitar tamano de payload"
ESC-014,Sin cifrado HTTP (no permitido),ANY,true,No,No,N/A,N/A,"PACK-BASE (bloqueo)","Exponer endpoint inseguro en produccion"
